Company name, Category, Description, Homepage, Email Address, Phone #,
 Mobile Parking Apps,,none,http://MobileParkingApps.com,none,,
Mobile Recruiting,other,mobile recruiting jobs video,http://www.mobile-recruiting.es,info@mobile-recruiting.es,+34915004025,
Kickanotch mobile,mobile,mobile brand marketing,http://kickanotch.com/,alynn@kickanotch.com,888 910-7226,
Creative Mobile Labs,mobile,Mobile Entertainment Publisher,http://www.creativemobilelabs.com,,,
Mobile Monday Pasadena (MoMo Pasadena),mobile,MoMo Pasadena ,http://www.momopasadena.com,eli@momopasadena.com,,
Illume Mobile,mobile,Mobile Apps for Businesses,http://www.illumemobile.com,info@illumemobile.com,800-401-8740,
APPEK Mobile Apps,mobile,B2B Mobile App Development,http://www.appekapps.com,info@appekapps.com,570.290.8311,
CrowdSpot Mobile,mobile,Rate and share your nightlife experience,http://facebook.com/crowdspot,wybren@crowdspotmobile.com,,
Refresh Mobile,mobile,App Creation Platform,http://mippin.com,info@mippin.com,,
Alohar Mobile,mobile,Mobile technology,http://alohar.com,info@alohar.com,(650) 394-6254,
